Region,Council,Swim site,Date,Time,Water temperature (°C),Latitude,Longitude
Sydney City,Randwick City Council,Coogee Beach,27/08/2024,08:22:00,16,-33.920760000,151.258170000
Sydney City,Waverley Council,Tamarama Beach,27/08/2024,07:38:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,Maroubra Beach,27/08/2024,08:43:00,17,-33.948896000,151.257459000
Sydney City,Randwick City Council,Little Bay Beach,27/08/2024,09:32:00,17,-33.979882000,151.251417000
Sydney City,Waverley Council,Bondi Beach,27/08/2024,07:25:00,16,-33.891157000,151.278267000
Sydney City,Waverley Council,Bronte Beach,27/08/2024,07:52:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Rockpool,27/08/2024,09:01:00,16,-33.953515000,151.258009000
Sydney City,Randwick City Council,Malabar Beach,27/08/2024,09:19:00,17,-33.964360000,151.252247000
Sydney City,Randwick City Council,Gordons Bay (East),27/08/2024,08:08:00,16,-33.915646000,151.264558000
Sydney City,Randwick City Council,South Maroubra Beach,27/08/2024,08:57:00,17,-33.951378000,151.257322000
Sydney City,Randwick City Council,Clovelly Beach,27/08/2024,08:02:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,Little Bay Beach,22/08/2024,09:41:00,17,-33.979882000,151.251417000
Sydney City,Randwick City Council,Coogee Beach,22/08/2024,08:41:00,16,-33.920760000,151.258170000
Sydney City,Randwick City Council,South Maroubra Beach,22/08/2024,09:11:00,16,-33.951378000,151.257322000
Sydney City,Waverley Council,Bondi Beach,22/08/2024,07:39:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,Maroubra Beach,22/08/2024,08:57:00,16,-33.948896000,151.257459000
Sydney City,Randwick City Council,Clovelly Beach,22/08/2024,08:18:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,Malabar Beach,22/08/2024,09:27:00,16,-33.964360000,151.252247000
Sydney City,Waverley Council,Tamarama Beach,22/08/2024,07:54:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,South Maroubra Rockpool,22/08/2024,09:04:00,16,-33.953515000,151.258009000
Sydney City,Randwick City Council,Gordons Bay (East),22/08/2024,08:27:00,16,-33.915646000,151.264558000
